Sequence,Category_Id,Difficulty,SNo,English,Tamil,Category_Name,Category_Name_Tamil
1,1,D1,1,ear,காது,Body Parts,உடல் பகுதிகள்
2,1,D1,2,nose,மூக்கு,Body Parts,உடல் பகுதிகள்
3,1,D1,3,head,தலை,Body Parts,உடல் பகுதிகள்
4,1,D1,4,eye,கண்,Body Parts,உடல் பகுதிகள்
5,1,D1,5,hand,கை,Body Parts,உடல் பகுதிகள்
6,1,D1,6,leg,கால்,Body Parts,உடல் பகுதிகள்
7,1,D1,7,body,உடம்பு (உடல்),Body Parts,உடல் பகுதிகள்
8,1,D1,8,teeth,பல்,Body Parts,உடல் பகுதிகள்
9,1,D1,9,finger,விரல்,Body Parts,உடல் பகுதிகள்
10,1,D1,10,neck,கழுத்து,Body Parts,உடல் பகுதிகள்
11,1,D1,11,nail,நகம்,Body Parts,உடல் பகுதிகள்
12,1,D1,12,eyebrow,புருவம்,Body Parts,உடல் பகுதிகள்
13,1,D1,13,lip,உதடு,Body Parts,உடல் பகுதிகள்
14,1,D1,14,skin,தோல்,Body Parts,உடல் பகுதிகள்
15,1,D1,15,stomach,வயிறு,Body Parts,உடல் பகுதிகள்
16,1,D1,16,hair,முடி,Body Parts,உடல் பகுதிகள்
17,1,D1,17,tongue,நாக்கு,Body Parts,உடல் பகுதிகள்
18,1,D1,18,back,முதுகு,Body Parts,உடல் பகுதிகள்
19,1,D1,19,thigh,தொடை,Body Parts,உடல் பகுதிகள்
20,1,D1,20,forehead,நெற்றி,Body Parts,உடல் பகுதிகள்
21,1,D2,1,lungs,நுரையீரல்,Body Parts,உடல் பகுதிகள்
22,1,D2,2,eyelid,இமை,Body Parts,உடல் பகுதிகள்
23,1,D2,3,heart,இதயம்,Body Parts,உடல் பகுதிகள்
24,1,D2,4,intestine,குடல்,Body Parts,உடல் பகுதிகள்
25,1,D2,5,shoulder,தோள்,Body Parts,உடல் பகுதிகள்
26,1,D2,6,bronchialtube,மூச்சுக் குழாய்,Body Parts,உடல் பகுதிகள்
27,1,D2,7,foot,பாதம்,Body Parts,உடல் பகுதிகள்
28,1,D2,8,palm,உள்ளங்கை,Body Parts,உடல் பகுதிகள்
29,1,D2,9,fingerprint,கைரேகை,Body Parts,உடல் பகுதிகள்
30,1,D2,10,cheek,கன்னம்,Body Parts,உடல் பகுதிகள்
31,1,D2,11,elbow,முழங்கை,Body Parts,உடல் பகுதிகள்
32,1,D2,12,bone,எலும்பு,Body Parts,உடல் பகுதிகள்
33,1,D2,13,hip,இடுப்பு,Body Parts,உடல் பகுதிகள்
34,1,D2,14,spine,முதுகெலும்பு,Body Parts,உடல் பகுதிகள்
35,1,D2,15,toe,கால்விரல்,Body Parts,உடல் பகுதிகள்
36,1,D2,16,bonejoint,எலும்பு மூட்டு,Body Parts,உடல் பகுதிகள்
37,1,D2,17,throat,தொண்டை,Body Parts,உடல் பகுதிகள்
38,1,D2,18,brain,மூளை,Body Parts,உடல் பகுதிகள்
39,1,D2,19,blood,குருதி,Body Parts,உடல் பகுதிகள்
40,1,D2,20,knee,முழங்கால்,Body Parts,உடல் பகுதிகள்
41,2,D1,1,rice,அரிசி,Food & Groceries,உணவு & மளிகை
42,2,D1,2,lentil,பருப்பு,Food & Groceries,உணவு & மளிகை
43,2,D1,3,milk,பால்,Food & Groceries,உணவு & மளிகை
44,2,D1,4,yogurt,தயிர்,Food & Groceries,உணவு & மளிகை
45,2,D1,5,sugar,சர்க்கரை,Food & Groceries,உணவு & மளிகை
46,2,D1,6,salt,உப்பு,Food & Groceries,உணவு & மளிகை
47,2,D1,7,egg,முட்டை,Food & Groceries,உணவு & மளிகை
48,2,D1,8,honey,தேன்,Food & Groceries,உணவு & மளிகை
49,2,D1,9,meat,மாமிசம்,Food & Groceries,உணவு & மளிகை
50,2,D1,10,buttermilk,மோர்,Food & Groceries,உணவு & மளிகை
51,2,D1,11,oil,எண்ணெய்,Food & Groceries,உணவு & மளிகை
52,2,D1,12,butter,வெண்ணெய்,Food & Groceries,உணவு & மளிகை
53,2,D1,13,flour,மாவு,Food & Groceries,உணவு & மளிகை
54,2,D1,14,mustard,கடுகு,Food & Groceries,உணவு & மளிகை
55,2,D1,15,tamarind,புளி,Food & Groceries,உணவு & மளிகை
56,2,D1,16,pickle,ஊறுகாய்,Food & Groceries,உணவு & மளிகை
57,2,D1,17,snacks,தின்பண்டங்கள்,Food & Groceries,உணவு & மளிகை
58,2,D1,18,sweets,இனிப்புகள்,Food & Groceries,உணவு & மளிகை
59,2,D1,19,jaggery,வெல்லம்,Food & Groceries,உணவு & மளிகை
60,2,D1,20,candy,மிட்டாய்,Food & Groceries,உணவு & மளிகை
61,2,D2,1,cotton candy,பஞ்சுமிட்டாய்,Food & Groceries,உணவு & மளிகை
62,2,D2,2,porridge,கஞ்சி,Food & Groceries,உணவு & மளிகை
63,2,D2,3,soup,வடிசாறு,Food & Groceries,உணவு & மளிகை
64,2,D2,4,bread slice,ரொட்டித்துண்டு,Food & Groceries,உணவு & மளிகை
65,2,D2,5,jam,பழக்கூட்டு,Food & Groceries,உணவு & மளிகை
66,2,D2,6,tea,தேநீர்,Food & Groceries,உணவு & மளிகை
67,2,D2,7,lemonade,எலுமிச்சை பானம்,Food & Groceries,உணவு & மளிகை
68,2,D2,8,hot water,வெந்நீர்,Food & Groceries,உணவு & மளிகை
69,2,D2,9,tender coconut water,இளநீர்,Food & Groceries,உணவு & மளிகை
70,2,D2,10,breakfast,காலை உணவு,Food & Groceries,உணவு & மளிகை
71,2,D2,11,lunch,மதிய உணவு,Food & Groceries,உணவு & மளிகை
72,2,D2,12,dinner,இரவு உணவு,Food & Groceries,உணவு & மளிகை
73,2,D2,13,feast,விருந்து,Food & Groceries,உணவு & மளிகை
74,2,D2,14,Fruit Juice,பழச்சாறு,Food & Groceries,உணவு & மளிகை
75,2,D2,15,cumin,சீரகம்,Food & Groceries,உணவு & மளிகை
76,2,D2,16,turmeric,மஞ்சள்,Food & Groceries,உணவு & மளிகை
77,2,D2,17,chili powder,மிளகாய்த்தூள்,Food & Groceries,உணவு & மளிகை
78,2,D2,18,ginger,இஞ்சி,Food & Groceries,உணவு & மளிகை
79,2,D2,19,almond,வாதுமைப் பருப்பு,Food & Groceries,உணவு & மளிகை
80,2,D2,20,peanut,வேர்க்கடலை,Food & Groceries,உணவு & மளிகை
81,3,D1,1,home,இல்லம்,Household Items,வீட்டுப் பொருள்கள்
82,3,D1,2,entrance,வாசல்,Household Items,வீட்டுப் பொருள்கள்
83,3,D1,3,door,கதவு,Household Items,வீட்டுப் பொருள்கள்
84,3,D1,4,window,சன்னல்,Household Items,வீட்டுப் பொருள்கள்
85,3,D1,5,chair,நாற்காலி,Household Items,வீட்டுப் பொருள்கள்
86,3,D1,6,table,மேசை,Household Items,வீட்டுப் பொருள்கள்
87,3,D1,7,bed,கட்டில்,Household Items,வீட்டுப் பொருள்கள்
88,3,D1,8,upstairs,மாடி,Household Items,வீட்டுப் பொருள்கள்
89,3,D1,9,plate,தட்டு,Household Items,வீட்டுப் பொருள்கள்
90,3,D1,10,spoon,கரண்டி,Household Items,வீட்டுப் பொருள்கள்
91,3,D1,11,stove,அடுப்பு,Household Items,வீட்டுப் பொருள்கள்
92,3,D1,12,clock,கடிகாரம்,Household Items,வீட்டுப் பொருள்கள்
93,3,D1,13,pot,பாத்திரம்,Household Items,வீட்டுப் பொருள்கள்
94,3,D1,14,bowl,கிண்ணம்,Household Items,வீட்டுப் பொருள்கள்
95,3,D1,15,knife,கத்தி,Household Items,வீட்டுப் பொருள்கள்
96,3,D1,16,basket,கூடை,Household Items,வீட்டுப் பொருள்கள்
97,3,D1,17,bag,பை,Household Items,வீட்டுப் பொருள்கள்
98,3,D1,18,umbrella,குடை,Household Items,வீட்டுப் பொருள்கள்
99,3,D1,19,fan,விசிறி,Household Items,வீட்டுப் பொருள்கள்
100,3,D1,20,mat,பாய்,Household Items,வீட்டுப் பொருள்கள்
101,3,D2,1,refrigerator,குளிர்சாதனப் பெட்டி,Household Items,வீட்டுப் பொருள்கள்
102,3,D2,2,clay pot,மண்சட்டி,Household Items,வீட்டுப் பொருள்கள்
103,3,D2,3,electric fan,மின்விசிறி,Household Items,வீட்டுப் பொருள்கள்
104,3,D2,4,water pipe,தண்ணீர்க்குழாய்,Household Items,வீட்டுப் பொருள்கள்
105,3,D2,5,computer,கணினி,Household Items,வீட்டுப் பொருள்கள்
106,3,D2,6,kitchen,சமையலறை,Household Items,வீட்டுப் பொருள்கள்
107,3,D2,7,bathroom,குளியலறை,Household Items,வீட்டுப் பொருள்கள்
108,3,D2,8,bedroom,படுக்கையறை,Household Items,வீட்டுப் பொருள்கள்
109,3,D2,9,mirror,நிலைக்கண்ணாடி,Household Items,வீட்டுப் பொருள்கள்
110,3,D2,10,telephone,தொலைபேசி,Household Items,வீட்டுப் பொருள்கள்
111,3,D2,11,television,தொலைகாட்சிப்பெட்டி,Household Items,வீட்டுப் பொருள்கள்
112,3,D2,12,radio,வானொலி,Household Items,வீட்டுப் பொருள்கள்
113,3,D2,13,mobile,கைப்பேசி,Household Items,வீட்டுப் பொருள்கள்
114,3,D2,14,electric light,மின்விளக்கு,Household Items,வீட்டுப் பொருள்கள்
115,3,D2,15,chandelier,சரவிளக்கு,Household Items,வீட்டுப் பொருள்கள்
116,3,D2,16,photograph,புகைப்படம்,Household Items,வீட்டுப் பொருள்கள்
117,3,D2,17,scissors,கத்தரிக்கோல்,Household Items,வீட்டுப் பொருள்கள்
118,3,D2,18,latch,தாழ்ப்பாள்,Household Items,வீட்டுப் பொருள்கள்
119,3,D2,19,pillow,தலையணை,Household Items,வீட்டுப் பொருள்கள்
120,3,D2,20,blanket,போர்வை,Household Items,வீட்டுப் பொருள்கள்
121,4,D1,1,school,பள்ளி,School Items,பள்ளிப் பொருள்கள்
122,4,D1,2,teacher,ஆசிரியர்,School Items,பள்ளிப் பொருள்கள்
123,4,D1,3,book,புத்தகம்,School Items,பள்ளிப் பொருள்கள்
124,4,D1,4,pen,எழுதுகோல்,School Items,பள்ளிப் பொருள்கள்
125,4,D1,5,book bag,புத்தகப்பை,School Items,பள்ளிப் பொருள்கள்
126,4,D1,6,student,மாணவன்,School Items,பள்ளிப் பொருள்கள்
127,4,D1,7,classroom,வகுப்பறை,School Items,பள்ளிப் பொருள்கள்
128,4,D1,8,exam,தேர்வு,School Items,பள்ளிப் பொருள்கள்
