sno,word
1,இதயம்
2,உதடு
3,எலும்பு
4,கண்
5,கழுத்து
6,கன்னம்
7,காது
8,குடல்
9,குருதி
10,சிறுநீரகம்
11,தசை
12,தோள்
13,நரம்பு
14,நாக்கு
15,நுரையீரல்f
16,பல்
17,பாதம்
18,முகம்
19,முடி
20,முதுகு
21,மூக்கு
22,மூட்டு
23,மூளை
24,வயிறு
25,வாய்
26,விரல்
27,அங்காடி
28,அமைதி
29,அவமானம்
30,அறம்
31,அறிவியல்
32,அறிவு
33,அன்பு
34,ஆசை
35,ஆச்சரியம்
36,ஆண்டு
37,ஆர்வம்
38,இசை
39,இன்பம்
40,உண்மை
41,உதவி
42,உலகம்
43,ஊக்கம்
44,ஒழுக்கம்
45,ஓவியம்
46,கட்டுரை
47,கணிதம்
48,கருணை
49,கல்லூரி
50,கல்வி
51,கவலை
52,கவிதை
53,கனவு
54,காலம்
55,கிராம்
56,கொடை
57,கோபம்
58,சட்டம்
59,சந்தை
60,சவால்
61,சாதனை
62,சிற்பம்
63,சுதந்திரம்
64,சோலை
65,திருட்டு
66,திருவிழா
67,துணிச்சல்
68,தோல்வி
69,நகரம்
70,நடனம்
71,நம்பிக்கை
72,நாகரீகம்
73,நாடகம்
74,நாடு
75,நினைவாற்றல்
76,நீதி
77,நூலகம்
78,நெடுஞ்சாலை
79,பண்பாடு
80,பயணம்
81,பயம்
82,பயிற்சி
83,பரிசு
84,பள்ளி
85,பாராட்டு
86,பிரதமர்
87,புகழ்
88,பூகோளம்
89,பெருமை
90,பொய்
91,பொறுமை
92,மகிழ்ச்சி
93,மரியாதை
94,மாதம்
95,முயற்சி
96,வரலாறு
97,வானியல்
98,விருந்து
99,விளையாட்டு
100,வெறுப்பு
101,வெற்றி
102,அடுப்பு
103,அம்மி
104,அலைபேசி
105,அழிப்பான்
106,ஆணி
107,உப்பு
108,உரல்
109,உலக்கை
110,ஊசி
111,ஊஞ்சல்
112,எண்ணெய்
113,எழுதுகோல்
114,ஏணி
115,கணினி
116,கண்ணாடி
117,கத்தரிக்கோல்
118,கயிறு
119,கரிக்கோல்
120,குடம்
121,குடை
122,குப்பை
123,கூரை
124,சங்கிலி
125,சட்டை
126,சர்க்கரை
127,சன்னல்
128,சாவி
129,சீப்பு
130,சுத்தி
131,சேலை
132,தாழ்ப்பாள்
133,திண்ணை
134,துடைப்பம்
135,துணி
136,துண்டு
137,தொலைக்காட்சி
138,நாள்காட்டி
139,நூல்
140,பணப்பை
141,பானை
142,பூட்டு
143,பெட்டி
144,பை
145,போர்வை
146,மடிக்கணினி
147,மதில்
148,மருந்து
149,மாடி
150,மாத்திரை
151,",,மிதிவண்டி"
152,மிளகாய்
153,மின்சாரம்
154,மின்விசிறி
155,முற்றம்
156,மெத்தை
157,மெழுகுவர்த்தி
158,மேசை
159,மோதிரம்
160,வரைபடம்
161,வளையல்
162,வாசல்
163,வாளி
164,வானொலி
165,விளக்கு
166,வேட்டி
167,அமாவாசை
168,அருவி
169,அலை
170,ஆகாயம்
171,ஆலமரம்
172,ஆழி
173,இருட்டு
174,இலை
175,ஓடை
176,கனி
177,காடு
178,குகை
179,குளம்
180,சுனை
181,சூழல்
182,செடி
183,தங்கம்
184,தாமரை
185,தென்றல்
186,நிழல்
187,நீலம்
188,நெருப்பு
189,பவளம்
190,பள்ளத்தாக்கு
191,பனி
192,பாலைவனம்
193,பாறை
194,புயல்
195,பூ
196,பூமி
197,பௌர்ணமி
198,மணல்
199,மண்
200,மரம்
201,மல்லிகை
202,மின்னல்
203,முத்து
204,மேகம்
205,மொட்டு
206,ரோசா
207,வறட்சி
208,வானவில்
209,விடியல்
210,விண்மீன்
211,வெளிச்சம்
212,வெள்ளி
213,வேம்பு
214,வேர்
215,வைரம்
216,அக்கா
217,அண்ணன்
218,அரசன்
219,அரசி
220,அன்னை
221,ஆசிரியர்
222,இளைஞன்
223,உறவினர்
224,ஓட்டுநர்
225,காவலர்
226,குழந்தை
227,கூட்டம்
228,செவிலியர்
229,தங்கை
230,தச்சர்
231,தந்தை
232,தம்பி
233,தாத்தா
234,நண்பன்
235,பாட்டி
236,புலவர்
237,பேரக்குழந்தை
238,மகள்
239,மகன்
240,மந்திரி
241,மருத்துவர்
242,மருமகள்
243,மருமகன்
244,மாணவன்
245,மாமனார்
246,மாமியார்
247,முதியவர்
248,விருந்தினர்
249,விவசாயி
250,வீரன்
